step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
99,"CREATE INDEX IDX_movie_keyword_0 ON MOVIE_KEYWORD (MOVIE_ID);,CREATE INDEX IDX_cast_info_20 ON CAST_INFO (PERSON_ID,PERSON_ROLE_ID,ROLE_ID);,CREATE INDEX IDX_movie_info_5 ON MOVIE_INFO (MOVIE_ID,INFO_TYPE_ID);,CREATE INDEX IDX_person_info_6 ON PERSON_INFO (PERSON_ID,NOTE);","effective_io_concurrency = 10,hash_mem_multiplier = 100,random_page_cost = 10000,enable_tidscan = off,seq_page_cost = 1000,effective_cache_size = 262144",100450.0,207.90292358398438,207.90292358398438,
100,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',100450.0,400.0,,
101,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',101597.0,400.0,,
102,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',102672.0,400.0,,
103,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',103937.0,400.0,,
104,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',104911.0,400.0,,
105,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',105980.0,400.0,,
106,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',107033.0,400.0,,
107,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',108046.0,400.0,,
108,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',108046.0,400.0,,
109,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,"shared_buffers = '32GB',shared_preload_libraries='pg_hint_plan'",28800.0,207.90292358398438,207.90292358398438,
