step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
55,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',28966.0,300.0,,
56,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',29931.0,300.0,,
57,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',30867.0,300.0,,
58,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',30991.0,300.0,,
59,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',31771.0,300.0,,
60,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',31775.0,300.0,,
61,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',32673.0,300.0,,
62,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',33015.0,300.0,,
63,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',33587.0,300.0,,
64,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',33773.0,300.0,,
65,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',34491.0,300.0,,
66,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',34967.0,300.0,,
67,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',35409.0,300.0,,
68,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',36199.0,300.0,,
69,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',36315.0,300.0,,
70,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',37232.0,300.0,,
71,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',38146.0,300.0,,
72,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',38918.0,300.0,,
73,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',39073.0,300.0,,
74,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',39983.0,300.0,,
75,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',40894.0,300.0,,
76,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',40926.0,300.0,,
77,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',41726.0,300.0,,
78,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',41964.0,300.0,,
79,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',42920.0,300.0,,
80,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',43836.0,300.0,,
81,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',44895.0,300.0,,
82,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',45938.0,300.0,,
83,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',46899.0,300.0,,
84,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',47866.0,300.0,,
85,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',48767.0,300.0,,
86,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',48912.0,300.0,,
87,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',49745.0,300.0,,
88,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',50671.0,300.0,,
89,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',51640.0,300.0,,
90,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',51860.0,300.0,,
91,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',52576.0,300.0,,
92,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',53488.0,300.0,,
93,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',54426.0,300.0,,
94,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',54811.0,300.0,,
95,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',55402.0,300.0,,
96,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',56381.0,300.0,,
97,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',57335.0,300.0,,
98,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',58273.0,300.0,,
99,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',59194.0,300.0,,
100,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',59263.0,300.0,,
101,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',60103.0,300.0,,
102,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',61081.0,300.0,,
103,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',62004.0,300.0,,
104,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',62910.0,300.0,,
105,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',63263.0,300.0,,
106,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',63821.0,300.0,,
107,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',64782.0,300.0,,
108,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',65684.0,300.0,,
109,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',65993.0,300.0,,
110,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',66633.0,300.0,,
111,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',67546.0,300.0,,
